,DWJZ,FSRQ,JZZZL,LJJZ
11,0.6630,2014-07-09,-1.49,2.0230
12,0.6730,2014-07-08,0.30,2.0330
13,0.6710,2014-07-07,-0.30,2.0310
14,0.6730,2014-07-04,-0.15,2.0330
15,0.6740,2014-07-03,0.30,2.0340
16,0.6720,2014-07-02,0.30,2.0320
17,0.6700,2014-07-01,-0.15,2.0300
18,0.6710,2014-06-30,0.90,2.0310
19,0.6650,2014-06-27,0.30,2.0250
0,0.6630,2014-06-26,0.91,2.0230
1,0.6570,2014-06-25,-0.15,2.0170
2,0.6580,2014-06-24,0.77,2.0180
3,0.6530,2014-06-23,0.15,2.0130
4,0.6520,2014-06-20,0.93,2.0120
5,0.6460,2014-06-19,-1.52,2.0060
6,0.6560,2014-06-18,-0.46,2.0160
7,0.6590,2014-06-17,-1.20,2.0190
8,0.6670,2014-06-16,0.30,2.0270
9,0.6650,2014-06-13,0.91,2.0250
10,0.6590,2014-06-12,-0.15,2.0190
11,0.6600,2014-06-11,0.00,2.0200
12,0.6600,2014-06-10,0.92,2.0200
13,0.6540,2014-06-09,-0.46,2.0140
14,0.6570,2014-06-06,0.00,2.0170
15,0.6570,2014-06-05,0.77,2.0170
16,0.6520,2014-06-04,-0.31,2.0120
17,0.6540,2014-06-03,-0.15,2.0140
18,0.6550,2014-05-30,0.00,2.0150
19,0.6550,2014-05-29,-0.91,2.0150
0,0.6610,2014-05-28,0.61,2.0210
1,0.6570,2014-05-27,-0.30,2.0170
2,0.6590,2014-05-26,0.92,2.0190
3,0.6530,2014-05-23,0.62,2.0130
4,0.6490,2014-05-22,0.31,2.0090
5,0.6470,2014-05-21,0.78,2.0070
6,0.6420,2014-05-20,0.47,2.0020
7,0.6390,2014-05-19,-0.78,1.9990
8,0.6440,2014-05-16,-0.77,2.0040
9,0.6490,2014-05-15,-1.07,2.0090
10,0.6560,2014-05-14,0.15,2.0160
11,0.6550,2014-05-13,-0.15,2.0150
12,0.6560,2014-05-12,1.55,2.0160
13,0.6460,2014-05-09,-0.77,2.0060
14,0.6510,2014-05-08,-0.31,2.0110
15,0.6530,2014-05-07,-1.36,2.0130
16,0.6620,2014-05-06,0.76,2.0220
17,0.6570,2014-05-05,0.77,2.0170
18,0.6520,2014-04-30,0.46,2.0120
19,0.6490,2014-04-29,1.09,2.0090
0,0.6420,2014-04-28,-2.28,2.0020
1,0.6570,2014-04-25,-1.79,2.0170
2,0.6690,2014-04-24,-0.30,2.0290
3,0.6710,2014-04-23,-0.89,2.0310
4,0.6770,2014-04-22,-0.88,2.0370
5,0.6830,2014-04-21,-0.87,2.0430
6,0.6890,2014-04-18,0.15,2.0490
7,0.6880,2014-04-17,0.15,2.0480
8,0.6870,2014-04-16,0.00,2.0470
9,0.6870,2014-04-15,-1.01,2.0470
10,0.6940,2014-04-14,0.73,2.0540
11,0.6890,2014-04-11,-0.29,2.0490
12,0.6910,2014-04-10,1.17,2.0510
13,0.6830,2014-04-09,0.59,2.0430
14,0.6790,2014-04-08,0.15,2.0390
15,0.6780,2014-04-04,0.59,2.0380
16,0.6740,2014-04-03,-0.15,2.0340
17,0.6750,2014-04-02,-0.59,2.0350
18,0.6790,2014-04-01,1.65,2.0390
19,0.6680,2014-03-31,0.15,2.0280
0,0.6670,2014-03-28,-2.06,2.0270
1,0.6810,2014-03-27,-2.01,2.0410
2,0.6950,2014-03-26,1.02,2.0550
3,0.6880,2014-03-25,0.00,2.0480
4,0.6880,2014-03-24,-0.29,2.0480
5,0.6900,2014-03-21,0.29,2.0500
6,0.6880,2014-03-20,-3.91,2.0480
7,0.7160,2014-03-19,-1.11,2.0760
8,0.7240,2014-03-18,0.56,2.0840
9,0.7200,2014-03-17,1.84,2.0800
10,0.7070,2014-03-14,-0.70,2.0670
11,0.7120,2014-03-13,2.15,2.0720
12,0.6970,2014-03-12,0.29,2.0570
13,0.6950,2014-03-11,-1.00,2.0550
14,0.7020,2014-03-10,-3.31,2.0620
15,0.7260,2014-03-07,-0.27,2.0860
16,0.7280,2014-03-06,-0.82,2.0880
17,0.7340,2014-03-05,-0.41,2.0940
18,0.7370,2014-03-04,0.00,2.0970
19,0.7370,2014-03-03,1.80,2.0970
0,0.7240,2014-02-28,1.40,2.0840
1,0.7140,2014-02-27,-3.38,2.0740
2,0.7390,2014-02-26,-0.40,2.0990
3,0.7420,2014-02-25,-3.76,2.1020
4,0.7710,2014-02-24,0.52,2.1310
5,0.7670,2014-02-21,-0.39,2.1270
6,0.7700,2014-02-20,-1.53,2.1300
7,0.7820,2014-02-19,-0.51,2.1420
8,0.7860,2014-02-18,-0.63,2.1460
9,0.7910,2014-02-17,2.06,2.1510
10,0.7750,2014-02-14,1.97,2.1350
11,0.7600,2014-02-13,-3.06,2.1200
12,0.7840,2014-02-12,-0.38,2.1440
13,0.7870,2014-02-11,-1.13,2.1470
14,0.7960,2014-02-10,2.18,2.1560
15,0.7790,2014-02-07,1.04,2.1390
16,0.7710,2014-01-30,0.00,2.1310
17,0.7710,2014-01-29,1.85,2.1310
18,0.7570,2014-01-28,-0.26,2.1170
19,0.7590,2014-01-27,-0.52,2.1190
0,0.7630,2014-01-24,0.66,2.1230
1,0.7580,2014-01-23,0.93,2.1180
2,0.7510,2014-01-22,1.76,2.1110
3,0.7380,2014-01-21,1.93,2.0980
4,0.7240,2014-01-20,-1.50,2.0840
5,0.7350,2014-01-17,-1.47,2.0950
6,0.7460,2014-01-16,-0.93,2.1060
7,0.7530,2014-01-15,0.67,2.1130
8,0.7480,2014-01-14,1.91,2.1080
9,0.7340,2014-01-13,0.14,2.0940
10,0.7330,2014-01-10,-0.95,2.0930
11,0.7400,2014-01-09,-1.20,2.1000
12,0.7490,2014-01-08,1.49,2.1090
13,0.7380,2014-01-07,1.10,2.0980
14,0.7300,2014-01-06,-2.14,2.0900
15,0.7460,2014-01-03,-0.53,2.1060
16,0.7500,2014-01-02,0.40,2.1100
17,0.7470,2013-12-31,0.81,2.1070
18,0.7410,2013-12-30,0.54,2.1010
19,0.7370,2013-12-27,1.24,2.0970
0,0.7280,2013-12-26,-1.62,2.0880
1,0.7400,2013-12-25,0.82,2.1000
2,0.7340,2013-12-24,0.41,2.0940
3,0.7310,2013-12-23,0.41,2.0910
4,0.7280,2013-12-20,-1.09,2.0880
5,0.7360,2013-12-19,-0.27,2.0960
6,0.7380,2013-12-18,0.00,2.0980
7,0.7380,2013-12-17,-0.40,2.0980
8,0.7410,2013-12-16,-1.72,2.1010
9,0.7540,2013-12-13,0.53,2.1140
10,0.7500,2013-12-12,0.13,2.1100
11,0.7490,2013-12-11,-0.79,2.1090
12,0.7550,2013-12-10,0.13,2.1150
13,0.7540,2013-12-09,0.94,2.1140
14,0.7470,2013-12-06,-0.40,2.1070
15,0.7500,2013-12-05,0.00,2.1100
16,0.7500,2013-12-04,1.35,2.1100
17,0.7400,2013-12-03,1.79,2.1000
18,0.7270,2013-12-02,-3.20,2.0870
19,0.7510,2013-11-29,0.40,2.1110
0,0.7480,2013-11-28,0.94,2.1080
1,0.7410,2013-11-27,0.41,2.1010
2,0.7380,2013-11-26,0.41,2.0980
3,0.7350,2013-11-25,-0.14,2.0950
4,0.7360,2013-11-22,-0.27,2.0960
5,0.7380,2013-11-21,-0.27,2.0980
6,0.7400,2013-11-20,0.68,2.1000
7,0.7350,2013-11-19,0.41,2.0950
8,0.7320,2013-11-18,1.95,2.0920
9,0.7180,2013-11-15,1.56,2.0780
10,0.7070,2013-11-14,0.86,2.0670
11,0.7010,2013-11-13,-1.82,2.0610
12,0.7140,2013-11-12,0.56,2.0740
13,0.7100,2013-11-11,0.57,2.0700
14,0.7060,2013-11-08,-1.53,2.0660
15,0.7170,2013-11-07,-1.51,2.0770
16,0.7280,2013-11-06,-1.09,2.0880
17,0.7360,2013-11-05,1.24,2.0960
18,0.7270,2013-11-04,0.41,2.0870
19,0.7240,2013-11-01,-0.55,2.0840
0,0.7280,2013-10-31,-3.06,2.0880
1,0.7510,2013-10-30,1.49,2.1110
2,0.7400,2013-10-29,-0.27,2.1000
3,0.7420,2013-10-28,1.09,2.1020
4,0.7340,2013-10-25,-3.04,2.0940
5,0.7570,2013-10-24,-0.66,2.1170
6,0.7620,2013-10-23,-4.51,2.1220
7,0.7980,2013-10-22,-3.27,2.1580
8,0.8250,2013-10-21,3.13,2.1850
9,0.8000,2013-10-18,2.30,2.1600
10,0.7820,2013-10-17,-1.14,2.1420
11,0.7910,2013-10-16,-2.10,2.1510
12,0.8080,2013-10-15,-1.10,2.1680
13,0.8170,2013-10-14,1.11,2.1770
14,0.8080,2013-10-11,1.38,2.1680
15,0.7970,2013-10-10,-2.09,2.1570
16,0.8140,2013-10-09,0.74,2.1740
17,0.8080,2013-10-08,1.13,2.1680
18,0.7990,2013-09-30,3.23,2.1590
19,0.7740,2013-09-27,0.78,2.1340
0,0.7680,2013-09-26,-1.41,2.1280
1,0.7790,2013-09-25,-1.27,2.1390
2,0.7890,2013-09-24,0.77,2.1490
3,0.7830,2013-09-23,2.89,2.1430
4,0.7610,2013-09-18,1.74,2.1210
5,0.7480,2013-09-17,-1.19,2.1080
6,0.7570,2013-09-16,1.07,2.1170
7,0.7490,2013-09-13,1.77,2.1090
8,0.7360,2013-09-12,0.55,2.0960
9,0.7320,2013-09-11,-2.66,2.0920
10,0.7520,2013-09-10,-1.18,2.1120
11,0.7610,2013-09-09,-0.39,2.1210
12,0.7640,2013-09-06,0.53,2.1240
13,0.7600,2013-09-05,1.60,2.1200
14,0.7480,2013-09-04,0.27,2.1080
15,0.7460,2013-09-03,1.77,2.1060
16,0.7330,2013-09-02,1.81,2.0930
17,0.7200,2013-08-30,-2.57,2.0800
18,0.7390,2013-08-29,-0.14,2.0990
19,0.7400,2013-08-28,-1.73,2.1000
0,0.7530,2013-08-27,0.00,2.1130
1,0.7530,2013-08-26,1.48,2.1130
2,0.7420,2013-08-23,0.54,2.1020
3,0.7380,2013-08-22,0.55,2.0980
4,0.7340,2013-08-21,0.00,2.0940
5,0.7340,2013-08-20,-0.14,2.0940
6,0.7350,2013-08-19,1.80,2.0950
7,0.7220,2013-08-16,-1.90,2.0820
8,0.7360,2013-08-15,-1.08,2.0960
9,0.7440,2013-08-14,0.00,2.1040
10,0.7440,2013-08-13,-0.13,2.1040
11,0.7450,2013-08-12,-0.27,2.1050
12,0.7470,2013-08-09,-0.66,2.1070
13,0.7520,2013-08-08,0.40,2.1120
14,0.7490,2013-08-07,-1.71,2.1090
15,0.7620,2013-08-06,0.66,2.1220
16,0.7570,2013-08-05,1.61,2.1170
17,0.7450,2013-08-02,0.54,2.1050
18,0.7410,2013-08-01,2.92,2.1010
19,0.7200,2013-07-31,0.28,2.0800
0,0.7180,2013-07-30,-1.10,2.0780
1,0.7260,2013-07-29,-2.42,2.0860
2,0.7440,2013-07-26,0.00,2.1040
3,0.7440,2013-07-25,-2.23,2.1040
4,0.7610,2013-07-24,0.79,2.1210
5,0.7550,2013-07-23,2.30,2.1150
6,0.7380,2013-07-22,1.10,2.0980
7,0.7300,2013-07-19,-1.75,2.0900
8,0.7430,2013-07-18,-0.54,2.1030
9,0.7470,2013-07-17,-1.19,2.1070
10,0.7560,2013-07-16,0.00,2.1160
11,0.7560,2013-07-15,2.44,2.1160
12,0.7380,2013-07-12,0.14,2.0980
13,0.7370,2013-07-11,1.94,2.0970
14,0.7230,2013-07-10,1.54,2.0830
15,0.7120,2013-07-09,0.57,2.0720
16,0.7080,2013-07-08,-2.48,2.0680
17,0.7260,2013-07-05,-0.82,2.0860
18,0.7320,2013-07-04,-0.54,2.0920
19,0.7360,2013-07-03,0.68,2.0960
0,0.7310,2013-07-02,1.39,2.0910
1,0.7210,2013-07-01,2.85,2.0810
2,0.7010,2013-06-30,0.00,2.0610
3,0.7010,2013-06-28,0.86,2.0610
4,0.6950,2013-06-27,-1.00,2.0550
5,0.7020,2013-06-26,3.39,2.0620
6,0.6790,2013-06-25,0.30,2.0390
7,0.6770,2013-06-24,-4.38,2.0370
8,0.7080,2013-06-21,-0.28,2.0680
9,0.7100,2013-06-20,-2.87,2.0700
10,0.7310,2013-06-19,-0.54,2.0910
11,0.7350,2013-06-18,0.00,2.0950
12,0.7350,2013-06-17,0.27,2.0950
13,0.7330,2013-06-14,2.37,2.0930
14,0.7160,2013-06-13,-1.92,2.0760
15,0.7300,2013-06-07,-0.41,2.0900
16,0.7330,2013-06-06,-1.21,2.0930
17,0.7420,2013-06-05,0.68,2.1020
18,0.7370,2013-06-04,-2.64,2.0970
19,0.7570,2013-06-03,-1.30,2.1170
0,0.7670,2013-05-31,-1.41,2.1270
1,0.7780,2013-05-30,0.00,2.1380
2,0.7780,2013-05-29,0.39,2.1380
3,0.7750,2013-05-28,-0.90,2.1350
4,0.7820,2013-05-27,1.30,2.1420
5,0.7720,2013-05-24,1.85,2.1320
6,0.7580,2013-05-23,-0.26,2.1180
7,0.7600,2013-05-22,-2.31,2.1200
8,0.7780,2013-05-21,1.04,2.1380
9,0.7700,2013-05-20,1.85,2.1300
10,0.7560,2013-05-17,1.34,2.1160
11,0.7460,2013-05-16,0.81,2.1060
12,0.7400,2013-05-15,2.07,2.1000
13,0.7250,2013-05-14,-1.09,2.0850
14,0.7330,2013-05-13,0.00,2.0930
15,0.7330,2013-05-10,-0.81,2.0930
16,0.7390,2013-05-09,-0.14,2.0990
17,0.7400,2013-05-08,1.37,2.1000
18,0.7300,2013-05-07,-0.55,2.0900
19,0.7340,2013-05-06,1.24,2.0940
0,0.7250,2013-05-03,1.97,2.0850
1,0.7110,2013-05-02,2.45,2.0710
2,0.6940,2013-04-26,-1.70,2.0540
3,0.7060,2013-04-25,-1.81,2.0660
4,0.7190,2013-04-24,2.57,2.0790
5,0.7010,2013-04-23,-2.10,2.0610
6,0.7160,2013-04-22,1.70,2.0760
7,0.7040,2013-04-19,1.73,2.0640
8,0.6920,2013-04-18,0.14,2.0520
9,0.6910,2013-04-17,1.92,2.0510
10,0.6780,2013-04-16,1.19,2.0380
11,0.6700,2013-04-15,-0.59,2.0300
12,0.6740,2013-04-12,-0.30,2.0340
13,0.6760,2013-04-11,0.15,2.0360
14,0.6750,2013-04-10,-0.59,2.0350
15,0.6790,2013-04-09,0.74,2.0390
16,0.6740,2013-04-08,1.97,2.0340
17,0.6610,2013-04-03,-1.20,2.0210
18,0.6690,2013-04-02,-2.62,2.0290
19,0.6870,2013-04-01,1.18,2.0470
0,0.6790,2013-03-29,0.15,2.0390
1,0.6780,2013-03-28,-1.74,2.0380
2,0.6900,2013-03-27,0.44,2.0500
3,0.6870,2013-03-26,0.15,2.0470
4,0.6860,2013-03-25,0.00,2.0460
5,0.6860,2013-03-22,-0.29,2.0460
6,0.6880,2013-03-21,1.33,2.0480
7,0.6790,2013-03-20,2.26,2.0390
8,0.6640,2013-03-19,-0.15,2.0240
9,0.6650,2013-03-18,-0.45,2.0250
10,0.6680,2013-03-15,0.75,2.0280
11,0.6630,2013-03-14,1.53,2.0230
12,0.6530,2013-03-13,-0.91,2.0130
13,0.6590,2013-03-12,-2.23,2.0190
14,0.6740,2013-03-11,0.60,2.0340
15,0.6700,2013-03-08,-1.33,2.0300
16,0.6790,2013-03-07,-1.59,2.0390
17,0.6900,2013-03-06,1.17,2.0500
18,0.6820,2013-03-05,2.25,2.0420
19,0.6670,2013-03-04,-3.47,2.0270
0,0.6910,2013-03-01,1.32,2.0510
1,0.6820,2013-02-28,1.34,2.0420
2,0.6730,2013-02-27,-0.30,2.0330
3,0.6750,2013-02-26,-1.17,2.0350
4,0.6830,2013-02-25,1.64,2.0430
5,0.6720,2013-02-22,-0.59,2.0320
6,0.6760,2013-02-21,-1.02,2.0360
7,0.6830,2013-02-20,2.71,2.0430
8,0.6650,2013-02-19,-1.77,2.0250
9,0.6770,2013-02-18,0.00,2.0370
10,0.6770,2013-02-08,1.35,2.0370
11,0.6680,2013-02-07,0.91,2.0280
12,0.6620,2013-02-06,1.07,2.0220
13,0.6550,2013-02-05,1.24,2.0150
14,0.6470,2013-02-04,-1.22,2.0070
15,0.6550,2013-02-01,0.92,2.0150
16,0.6490,2013-01-31,-1.07,2.0090
17,0.6560,2013-01-30,-0.15,2.0160
18,0.6570,2013-01-29,0.61,2.0170
19,0.6530,2013-01-28,2.35,2.0130
0,0.6380,2013-01-25,0.63,1.9980
1,0.6340,2013-01-24,-2.16,1.9940
2,0.6480,2013-01-23,0.15,2.0080
3,0.6470,2013-01-22,-1.52,2.0070
4,0.6570,2013-01-21,0.31,2.0170
5,0.6550,2013-01-18,1.71,2.0150
6,0.6440,2013-01-17,-0.62,2.0040
7,0.6480,2013-01-16,-0.15,2.0080
8,0.6490,2013-01-15,1.56,2.0090
9,0.6390,2013-01-14,2.73,1.9990
10,0.6220,2013-01-11,-1.27,1.9820
11,0.6300,2013-01-10,0.00,1.9900
12,0.6300,2013-01-09,0.32,1.9900
13,0.6280,2013-01-08,1.13,1.9880
14,0.6210,2013-01-07,0.65,1.9810
15,0.6170,2013-01-04,-0.80,1.9770
16,0.6220,2012-12-31,0.81,1.9820
17,0.6170,2012-12-28,0.82,1.9770
18,0.6120,2012-12-27,-0.49,1.9720
19,0.6150,2012-12-26,0.82,1.9750
0,0.6100,2012-12-25,1.84,1.9700
1,0.5990,2012-12-24,1.18,1.9590
2,0.5920,2012-12-21,0.34,1.9520
3,0.5900,2012-12-20,0.17,1.9500
4,0.5890,2012-12-19,0.51,1.9490
5,0.5860,2012-12-18,-1.01,1.9460
6,0.5920,2012-12-17,-0.67,1.9520
7,0.5960,2012-12-14,2.76,1.9560
8,0.5800,2012-12-13,-0.51,1.9400
9,0.5830,2012-12-12,-0.17,1.9430
10,0.5840,2012-12-11,-0.51,1.9440
11,0.5870,2012-12-10,0.86,1.9470
12,0.5820,2012-12-07,1.04,1.9420
13,0.5760,2012-12-06,-0.35,1.9360
14,0.5780,2012-12-05,2.30,1.9380
15,0.5650,2012-12-04,1.07,1.9250
16,0.5590,2012-12-03,-0.89,1.9190
17,0.5640,2012-11-30,1.08,1.9240
18,0.5580,2012-11-29,-0.18,1.9180
19,0.5590,2012-11-28,-1.06,1.9190
0,0.5650,2012-11-27,-1.22,1.9250
1,0.5720,2012-11-26,-1.04,1.9320
2,0.5780,2012-11-23,0.35,1.9380
3,0.5760,2012-11-22,-0.69,1.9360
4,0.5800,2012-11-21,0.52,1.9400
5,0.5770,2012-11-20,0.00,1.9370
6,0.5770,2012-11-19,-0.17,1.9370
7,0.5780,2012-11-16,-0.52,1.9380
8,0.5810,2012-11-15,-0.51,1.9410
9,0.5840,2012-11-14,-0.17,1.9440
10,0.5850,2012-11-13,-1.35,1.9450
11,0.5930,2012-11-12,0.17,1.9530
12,0.5920,2012-11-09,-0.67,1.9520
13,0.5960,2012-11-08,-1.49,1.9560
14,0.6050,2012-11-07,-0.33,1.9650
15,0.6070,2012-11-06,-0.33,1.9670
16,0.6090,2012-11-05,-0.81,1.9690
17,0.6140,2012-11-02,0.00,1.9740
18,0.6140,2012-11-01,1.32,1.9740
19,0.6060,2012-10-31,0.66,1.9660
0,0.6020,2012-10-30,0.33,1.9620
1,0.6000,2012-10-29,0.00,1.9600
2,0.6000,2012-10-26,-1.32,1.9600
3,0.6080,2012-10-25,-0.65,1.9680
4,0.6120,2012-10-24,-0.33,1.9720
5,0.6140,2012-10-23,-1.44,1.9740
6,0.6230,2012-10-22,0.16,1.9830
7,0.6220,2012-10-19,-0.16,1.9820
8,0.6230,2012-10-18,1.30,1.9830
9,0.6150,2012-10-17,0.00,1.9750
10,0.6150,2012-10-16,0.49,1.9750
11,0.6120,2012-10-15,0.00,1.9720
12,0.6120,2012-10-12,-0.33,1.9720
13,0.6140,2012-10-11,-1.29,1.9740
14,0.6220,2012-10-10,0.32,1.9820
15,0.6200,2012-10-09,1.97,1.9800
16,0.6080,2012-10-08,-0.49,1.9680
17,0.6110,2012-09-30,0.00,1.9710
18,0.6110,2012-09-28,1.33,1.9710
19,0.6030,2012-09-27,1.86,1.9630
0,0.5920,2012-09-26,-1.33,1.9520
1,0.6000,2012-09-25,0.00,1.9600
2,0.6000,2012-09-24,0.50,1.9600
3,0.5970,2012-09-21,-0.17,1.9570
4,0.5980,2012-09-20,-2.13,1.9580
5,0.6110,2012-09-19,0.33,1.9710
6,0.6090,2012-09-18,-0.16,1.9690
7,0.6100,2012-09-17,-2.09,1.9700
8,0.6230,2012-09-14,0.00,1.9830
9,0.6230,2012-09-13,-0.95,1.9830
10,0.6290,2012-09-12,0.32,1.9890
11,0.6270,2012-09-11,-0.48,1.9870
12,0.6300,2012-09-10,0.16,1.9900
13,0.6290,2012-09-07,2.61,1.9890
14,0.6130,2012-09-06,0.66,1.9730
15,0.6090,2012-09-05,0.33,1.9690
16,0.6070,2012-09-04,-0.49,1.9670
17,0.6100,2012-09-03,2.01,1.9700
18,0.5980,2012-08-31,0.50,1.9580
19,0.5950,2012-08-30,-1.16,1.9550
0,0.6020,2012-08-29,-0.66,1.9620
1,0.6060,2012-08-28,0.00,1.9660
2,0.6060,2012-08-27,-1.14,1.9660
3,0.6130,2012-08-24,-1.29,1.9730
4,0.6210,2012-08-23,-0.16,1.9810
5,0.6220,2012-08-22,-0.16,1.9820
6,0.6230,2012-08-21,0.97,1.9830
7,0.6170,2012-08-20,0.00,1.9770
8,0.6170,2012-08-17,-0.48,1.9770
9,0.6200,2012-08-16,-0.64,1.9800
10,0.6240,2012-08-15,-0.48,1.9840
11,0.6270,2012-08-14,0.16,1.9870
12,0.6260,2012-08-13,-2.64,1.9860
13,0.6430,2012-08-10,-0.46,2.0030
14,0.6460,2012-08-09,1.25,2.0060
15,0.6380,2012-08-08,-0.31,1.9980
16,0.6400,2012-08-07,-0.16,2.0000
17,0.6410,2012-08-06,1.26,2.0010
18,0.6330,2012-08-03,0.64,1.9930
19,0.6290,2012-08-02,-1.87,1.9890
0,0.6410,2012-08-01,0.94,2.0010
1,0.6350,2012-07-31,0.32,1.9950
2,0.6330,2012-07-30,-1.25,1.9930
3,0.6410,2012-07-27,-0.62,2.0010
4,0.6450,2012-07-26,-1.07,2.0050
5,0.6520,2012-07-25,-1.06,2.0120
6,0.6590,2012-07-24,0.92,2.0190
7,0.6530,2012-07-23,-1.66,2.0130
8,0.6640,2012-07-20,-1.19,2.0240
9,0.6720,2012-07-19,1.20,2.0320
10,0.6640,2012-07-18,-1.04,2.0240
11,0.6710,2012-07-17,0.75,2.0310
12,0.6660,2012-07-16,-2.49,2.0260
13,0.6830,2012-07-13,-0.15,2.0430
14,0.6840,2012-07-12,1.03,2.0440
15,0.6770,2012-07-11,1.04,2.0370
16,0.6700,2012-07-10,-0.89,2.0300
17,0.6760,2012-07-09,-1.74,2.0360
18,0.6880,2012-07-06,2.23,2.0480
19,0.6730,2012-07-05,-1.75,2.0330
0,0.6850,2012-07-04,-0.58,2.0450
1,0.6890,2012-07-03,1.03,2.0490
2,0.6820,2012-07-02,0.59,2.0420
3,0.6780,2012-06-30,0.00,2.0380
4,0.6780,2012-06-29,1.80,2.0380
5,0.6660,2012-06-28,-0.60,2.0260
6,0.6700,2012-06-27,0.15,2.0300
7,0.6690,2012-06-26,0.60,2.0290
8,0.6650,2012-06-25,-3.76,2.0250
9,0.6910,2012-06-21,-1.71,2.0510
10,0.7030,2012-06-20,-0.14,2.0630
11,0.7040,2012-06-19,-0.98,2.0640
12,0.7110,2012-06-18,0.57,2.0710
13,0.7070,2012-06-15,-0.28,2.0670
14,0.7090,2012-06-14,-0.70,2.0690
15,0.7140,2012-06-13,2.44,2.0740
16,0.6970,2012-06-12,0.00,2.0570
17,0.6970,2012-06-11,1.60,2.0570
18,0.6860,2012-06-08,-0.58,2.0460
19,0.6900,2012-06-07,-0.14,2.0500
0,0.6910,2012-06-06,-0.58,2.0510
1,0.6950,2012-06-05,-0.43,2.0550
2,0.6980,2012-06-04,-3.19,2.0580
3,0.7210,2012-06-01,-0.28,2.0810
4,0.7230,2012-05-31,-0.28,2.0830
5,0.7250,2012-05-30,0.00,2.0850
6,0.7250,2012-05-29,1.40,2.0850
7,0.7150,2012-05-28,1.27,2.0750
8,0.7060,2012-05-25,-1.12,2.0660
9,0.7140,2012-05-24,-1.24,2.0740
10,0.7230,2012-05-23,-0.28,2.0830
11,0.7250,2012-05-22,1.26,2.0850
12,0.7160,2012-05-21,0.28,2.0760
13,0.7140,2012-05-18,-1.24,2.0740
14,0.7230,2012-05-17,1.54,2.0830
15,0.7120,2012-05-16,-1.39,2.0720
16,0.7220,2012-05-15,0.00,2.0820
17,0.7220,2012-05-14,-1.23,2.0820
18,0.7310,2012-05-11,-0.81,2.0910
19,0.7370,2012-05-10,0.00,2.0970
0,0.7370,2012-05-09,-1.73,2.0970
1,0.7500,2012-05-08,-0.40,2.1100
2,0.7530,2012-05-07,-0.40,2.1130
3,0.7560,2012-05-04,0.80,2.1160
4,0.7500,2012-05-03,0.67,2.1100
5,0.7450,2012-05-02,2.48,2.1050
6,0.7270,2012-04-27,-0.41,2.0870
7,0.7300,2012-04-26,-0.14,2.0900
8,0.7310,2012-04-25,0.55,2.0910
9,0.7270,2012-04-24,-0.27,2.0870
10,0.7290,2012-04-23,-1.09,2.0890
11,0.7370,2012-04-20,1.38,2.0970
12,0.7270,2012-04-19,0.83,2.0870
13,0.7210,2012-04-18,2.41,2.0810
14,0.7040,2012-04-17,-1.40,2.0640
15,0.7140,2012-04-16,-0.56,2.0740
16,0.7180,2012-04-13,0.70,2.0780
17,0.7130,2012-04-12,2.44,2.0730
18,0.6960,2012-04-11,-0.43,2.0560
19,0.6990,2012-04-10,0.72,2.0590
0,0.6940,2012-04-09,-0.72,2.0540
1,0.6990,2012-04-06,0.29,2.0590
2,0.6970,2012-04-05,2.65,2.0570
3,0.6790,2012-03-31,0.00,2.0390
4,0.6790,2012-03-30,0.30,2.0390
5,0.6770,2012-03-29,-1.88,2.0370
6,0.6900,2012-03-28,-3.50,2.0500
7,0.7150,2012-03-27,-0.28,2.0750
8,0.7170,2012-03-26,0.42,2.0770
9,0.7140,2012-03-23,-1.65,2.0740
10,0.7260,2012-03-22,-0.82,2.0860
11,0.7320,2012-03-21,0.41,2.0920
12,0.7290,2012-03-20,-2.02,2.0890
13,0.7440,2012-03-19,0.40,2.1040
14,0.7410,2012-03-16,1.37,2.1010
15,0.7310,2012-03-15,-0.54,2.0910
16,0.7350,2012-03-14,-2.78,2.0950
17,0.7560,2012-03-13,1.07,2.1160
18,0.7480,2012-03-12,-0.53,2.1080
19,0.7520,2012-03-09,1.48,2.1120
0,0.7410,2012-03-08,1.65,2.1010
1,0.7290,2012-03-07,-0.95,2.0890
2,0.7360,2012-03-06,-2.00,2.0960
3,0.7510,2012-03-05,-0.53,2.1110
4,0.7550,2012-03-02,2.03,2.1150
5,0.7400,2012-03-01,-0.14,2.1000
6,0.7410,2012-02-29,-1.07,2.1010
7,0.7490,2012-02-28,-0.53,2.1090
8,0.7530,2012-02-27,0.13,2.1130
9,0.7520,2012-02-24,1.35,2.1120
10,0.7420,2012-02-23,0.54,2.1020
11,0.7380,2012-02-22,1.37,2.0980
12,0.7280,2012-02-21,0.97,2.0880
13,0.7210,2012-02-20,0.14,2.0810
14,0.7200,2012-02-17,0.00,2.0800
15,0.7200,2012-02-16,-0.83,2.0800
16,0.7260,2012-02-15,0.97,2.0860
17,0.7190,2012-02-14,-0.55,2.0790
18,0.7230,2012-02-13,0.14,2.0830
19,0.7220,2012-02-10,-0.14,2.0820
0,0.7230,2012-02-09,0.00,2.0830
1,0.7230,2012-02-08,3.88,2.0830
2,0.6960,2012-02-07,-1.69,2.0560
3,0.7080,2012-02-06,0.00,2.0680
4,0.7080,2012-02-03,0.57,2.0680
5,0.7040,2012-02-02,2.62,2.0640
